Subject Name,Subject Code,URL,Level,Credit Points,Offering Info
Adv Topics in Engineering Mathematics,ELEN90018,https://handbook.unimelb.edu.au/2024/subjects/elen90018,Graduate coursework,12.5 credit points,Not offered in 2024
International Film Festival Studio,FLTV20020,https://handbook.unimelb.edu.au/2024/subjects/fltv20020,Undergraduate Level 2,12.5 credit points,Not offered in 2024
PhD Research,ASIA80001,https://handbook.unimelb.edu.au/2024/subjects/asia80001,Doctorate time-based research,0 credit points,"Offered Time-based Research, 2024"
Acc.Information and Security Valuation,ACCT90008,https://handbook.unimelb.edu.au/2024/subjects/acct90008,Graduate coursework,12.5 credit points,Not offered in 2024
Economic and Business Law in Asia,LAWS90037,https://handbook.unimelb.edu.au/2024/subjects/laws90037,Graduate coursework,12.5 credit points,Not offered in 2024
Physiotherapy Theory and Practice 2,PHTY90092,https://handbook.unimelb.edu.au/2024/subjects/phty90092,Graduate coursework,12.5 credit points,Not offered in 2024
Advanced Financial Mathematics,ACTL40004,https://handbook.unimelb.edu.au/2024/subjects/actl40004,Honours,12.5 credit points,"Offered Semester 1, 2024"
Agricultural Genetics,AGRI10052,https://handbook.unimelb.edu.au/2024/subjects/agri10052,Undergraduate Level 1,12.5 credit points,"Offered Semester 2, 2024"
Criminology Thesis Part 1,CRIM40008,https://handbook.unimelb.edu.au/2024/subjects/crim40008,Honours,25 credit points,"Offered Semester 1, 2024"
Physics Research Project Pt1,PHYC40009,https://handbook.unimelb.edu.au/2024/subjects/phyc40009,Undergraduate Level 4,12.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Industrial Systems and Simulation,MCEN90053,https://handbook.unimelb.edu.au/2024/subjects/mcen90053,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
Special Topics in Finance A,FNCE90043,https://handbook.unimelb.edu.au/2024/subjects/fnce90043,Graduate coursework,6.25 credit points,"Offered February, 2024"
Peri-Arrest Ultrasound - Practical,MEDI90138,https://handbook.unimelb.edu.au/2024/subjects/medi90138,Graduate coursework,6.25 credit points,"Offered Semester 1, Semester 2, 2024"
Arts Research Internship,ARTS90033,https://handbook.unimelb.edu.au/2024/subjects/arts90033,Graduate coursework,25 credit points,"Offered Semester 1, 2024"
Industry Studies in America,BUSA90513,https://handbook.unimelb.edu.au/2024/subjects/busa90513,Graduate coursework,12.5 credit points,"Offered Winter Term, 2024"
Biotechnology Research Project Part 1,SCIE90028,https://handbook.unimelb.edu.au/2024/subjects/scie90028,Graduate coursework,12.5 credit points,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024"
Sustainable Landscapes,ENST90043,https://handbook.unimelb.edu.au/2024/subjects/enst90043,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Anatomy and Physiology,ANAT90011,https://handbook.unimelb.edu.au/2024/subjects/anat90011,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Animation Lab 3,FLTV30018,https://handbook.unimelb.edu.au/2024/subjects/fltv30018,Undergraduate Level 3,12.5 credit points,"Offered Semester 1, 2024"
Researching Language,ARTS90015,https://handbook.unimelb.edu.au/2024/subjects/arts90015,Graduate coursework,6.25 credit points,"Offered Semester 1, 2024"
Geography Honours Research Project Pt2,GEOG40010,https://handbook.unimelb.edu.au/2024/subjects/geog40010,Honours,50 credit points,"Offered Semester 2 (Early-Start), 2024"
AA Visiting School Undergraduate,ABPL30063,https://handbook.unimelb.edu.au/2024/subjects/abpl30063,Undergraduate Level 3,12.5 credit points,"Offered Winter Term, 2024"
Advanced Psychological Practice 2,PSYC90016,https://handbook.unimelb.edu.au/2024/subjects/psyc90016,Graduate coursework,6.25 credit points,"Offered Semester 2, 2024"
Master Thesis in Vet Science (Clinical),VETS90027,https://handbook.unimelb.edu.au/2024/subjects/vets90027,Masters time-based research,0 credit points,"Offered Time-based Research, 2024"
