Subject Name,Subject Code,Primary Info,Credit Points,Subject Url
"Genders, Bodies & Sexualities",GEND20003,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/gend20003
Media and Urban Culture in Asia,ASIA20001,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/asia20001
German 2,GERM10005,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/germ10005
Memory & Memoirs of 20th Century Europe,EURO20003,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/euro20003
Romanticism to Decadence: French Novels,FREN30005,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/fren30005
The Rise and Fall of the Roman Republic,ANCW20019,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/ancw20019
Analysing Professional Communication,MECM20012,"Offered Summer Term, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/mecm20012
Australia Now,MULT20013,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/mult20013
Arabic 6,ARBC30005,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/arbc30005
The History of Cool: Fashion & Attitude,DPSS10007,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/dpss10007
Aboriginal Women: Activism & Leadership,INDG20003,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/indg20003
Literature and Performance,ENGL10002,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/engl10002
Italian Fictions,ITAL30006,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/ital30006
Money and Sweat: Economic Anthropology,ANTH30024,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/anth30024
Trans Studies: Cultures and Communities,GEND30007,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/gend30007
Languages of Venice: Study Abroad,ITAL20006,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/ital20006
Arts Internship: Not for Profit,MULT20012,"Offered Semester 1, Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/mult20012
"Self, Culture and Society",ANTH20012,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/anth20012
Dancing the Dance 3: Dance for Video,DNCE20033,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/dnce20033
Japanese 7,JAPN10005,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/japn10005
Writing Videogames and Live Performance,CWRI30015,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/cwri30015
Italian 4,ITAL20008,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/ital20008
Principles of Chemical Biology,CHEM20026,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/chem20026
Life Writing,CWRI30013,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/cwri30013
Translation: Intercultural Indonesian,INDO20016,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/indo20016
French and Francophone Cultural Studies,FREN20016,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/fren20016
Philosophy: The Big Questions,PHIL10002,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/phil10002
Islam and Ethics: Doctrines and Debates,ISLM30003,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/islm30003
Ancient & Contemporary Indigenous Arts 2,AIND20012,"Offered Winter Term, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/aind20012
International Gender Politics,POLS30015,Not offered in 2024,3,https://handbook.unimelb.edu.au/2024/subjects/pols30015
"Crime, Criminology, and Critique",CRIM10001,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/crim10001
Variation in Japanese Language,JAPN30012,"Offered Summer Term, Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/japn30012
Philosophy of Language,PHIL30053,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/phil30053
God and the Natural Sciences,HPSC20020,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/hpsc20020
Modern and Contemporary Literature,ENGL10001,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/engl10001
Ancient Egyptian 3,ANCW20023,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/ancw20023
Arabic 5,ARBC20006,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/arbc20006
Chinese 6,CHIN30009,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/chin30009
Asian Religions in Societal Context,ASIA30003,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/asia30003
German 7,GERM20001,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/germ20001
Language and Society in Europe,EURO20001,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/euro20001
"Slavery & Freedom: US History, 1763-1945",HIST20059,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/hist20059
Korean 4,KORE10004,"Offered Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/kore10004
Japanese Grammar in Action,JAPN20010,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/japn20010
Spatial Analysis in Geography,GEOG20017,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/geog20017
Advanced Seminar in Chinese,CHIN20022,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/chin20022
Punishment and Social Control,CRIM20006,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/crim20006
City Visions: Melbourne Intensive,HIST20087,"Offered Summer Term, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/hist20087
The French Revolution,HIST20068,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/hist20068
German 10,GERM30004,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/germ30004
