Subject Name,Subject Code,Primary Info,Credit Points,Subject Url
Entrepreneurial Finance,FNCE30006,"Offered Semester 1, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/fnce30006
Sensing and Measurement,GEOM20015,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/geom20015
Principles of Business Law,BLAW10001,"Offered Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/blaw10001
Shaping the Enterprise with ICT,ISYS20006,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/isys20006
Japanese 4,JAPN20008,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/japn20008
Food for a Healthy Planet,UNIB10009,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/unib10009
Making Movies 3 Practical Production,FLTV30022,"Offered March, July, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/fltv30022
Principles of Brewing,FOOD20007,"Offered Semester 2 (Early-Start), 2024",2,https://handbook.unimelb.edu.au/2024/subjects/food20007
African Music and Dance Ensemble,MUSI10148,"Offered Semester 1, Semester 2, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/musi10148
Making Movies 2,FLTV20005,"Offered Semester 1, Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/fltv20005
Plant Growth Processes,AGRI20026,"Offered Semester 1, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/agri20026
"Creativity, Genius, Expertise and Talent",MUSI20222,Not offered in 2024,2,https://handbook.unimelb.edu.au/2024/subjects/musi20222
The Figure in Performance,FINA20041,"Offered Semester 2, 2024",2,https://handbook.unimelb.edu.au/2024/subjects/fina20041
Geotechnical Modelling and Design,CVEN30010,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/cven30010
Understanding the Built Environment,ABPL10005,"Offered Semester 1, 2024",1,https://handbook.unimelb.edu.au/2024/subjects/abpl10005
Biosystems Design,BMEN30008,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/bmen30008
Macroeconomics,ECON30009,"Offered Semester 2, 2024",3,https://handbook.unimelb.edu.au/2024/subjects/econ30009
