Course Code,Major/Minor Name,URL
B-ARTS,History minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-29/print
B-ARTS,History and Philosophy of Science minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-30/print
B-ARTS,Indigenous Studies minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-31/print
B-ARTS,Indonesian Studies minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-32/print
B-ARTS,Islamic Studies minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-33/print
B-ARTS,Italian Studies minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-34/print
B-ARTS,Japanese Societies minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-10/print
B-ARTS,Japanese Studies minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-36/print
B-ARTS,Knowledge and Learning minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-8/print
B-ARTS,Korean Studies minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-9/print
B-ARTS,Law and Justice minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-7/print
B-ARTS,Linguistics and Applied Linguistics minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-37/print
B-ARTS,Media and Communications minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-38/print
B-ARTS,Medieval and Early Modern Studies minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-11/print
B-ARTS,Philosophy minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-40/print
B-ARTS,Politics and International Studies minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-41/print
B-ARTS,Psychology minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-42/print
B-ARTS,Russian Studies minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-43/print
B-ARTS,Screen and Cultural Studies minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-44/print
B-ARTS,Sociology minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-45/print
B-ARTS,South Asian Studies minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-48/print
B-ARTS,Spanish and Latin American Studies minor,https://handbook.unimelb.edu.au/2024/components/b-arts-minor-46/print
B-SCI,Agricultural Science,https://handbook.unimelb.edu.au/2024/components/b-sci-major-10/print
B-SCI,Animal Health and Disease,https://handbook.unimelb.edu.au/2024/components/b-sci-major-11/print
B-SCI,Animal Science and Management,https://handbook.unimelb.edu.au/2024/components/b-sci-major-19/print
B-SCI,Biochemistry and Molecular Biology,https://handbook.unimelb.edu.au/2024/components/b-sci-major-39/print
B-SCI,Biomedical Engineering Systems,https://handbook.unimelb.edu.au/2024/components/b-sci-major-13/print
B-SCI,Biotechnology,https://handbook.unimelb.edu.au/2024/components/b-sci-major-14/print
B-SCI,Cell and Developmental Biology,https://handbook.unimelb.edu.au/2024/components/b-sci-major-15/print
B-SCI,Chemical Engineering Systems,https://handbook.unimelb.edu.au/2024/components/b-sci-major-16/print
B-SCI,Chemistry,https://handbook.unimelb.edu.au/2024/components/b-sci-major-17/print
B-SCI,Civil Engineering Systems,https://handbook.unimelb.edu.au/2024/components/b-sci-major-18/print
B-SCI,Climate and Weather,https://handbook.unimelb.edu.au/2024/components/b-sci-major-12/print
B-SCI,Computational Biology,https://handbook.unimelb.edu.au/2024/components/b-sci-major-7/print
B-SCI,Computing and Software Systems,https://handbook.unimelb.edu.au/2024/components/b-sci-major-1/print
B-SCI,Data Science,https://handbook.unimelb.edu.au/2024/components/b-sci-major-8/print
B-SCI,Digital Infrastructure Engineering Systems,https://handbook.unimelb.edu.au/2024/components/b-sci-major-46/print
