Subject Name,Subject Code,URL,Level,Credit Points,Offering Info
Foundations of Physics,PHYC10009,https://handbook.unimelb.edu.au/2024/subjects/phyc10009,Undergraduate Level 1,12.5 credit points,"Offered Semester 1, 2024"
Korean 3,KORE20003,https://handbook.unimelb.edu.au/2024/subjects/kore20003,Undergraduate Level 2,12.5 credit points,"Offered Semester 1, 2024"
Global Cultures of Japan and Korea,ASIA30005,https://handbook.unimelb.edu.au/2024/subjects/asia30005,Undergraduate Level 3,12.5 credit points,"Offered Semester 1, 2024"
German 5,GERM10006,https://handbook.unimelb.edu.au/2024/subjects/germ10006,Undergraduate Level 1,12.5 credit points,"Offered Semester 1, 2024"
Italian Cultural Studies A,ITAL20009,https://handbook.unimelb.edu.au/2024/subjects/ital20009,Undergraduate Level 2,12.5 credit points,"Offered Winter Term, Semester 2, 2024"
Modern Israel: Good Bad and Disputed,JEWI20007,https://handbook.unimelb.edu.au/2024/subjects/jewi20007,Undergraduate Level 2,12.5 credit points,"Offered Semester 1, 2024"
The World Since World War II,HIST10012,https://handbook.unimelb.edu.au/2024/subjects/hist10012,Undergraduate Level 1,12.5 credit points,Not offered in 2024
French Travel Writing,FREN20012,https://handbook.unimelb.edu.au/2024/subjects/fren20012,Undergraduate Level 2,12.5 credit points,Not offered in 2024
Egypt Under the Pharaohs with the NGV,ANCW20003,https://handbook.unimelb.edu.au/2024/subjects/ancw20003,Undergraduate Level 2,12.5 credit points,"Offered Winter Term, August, 2024"
Anthropology: Studying Self and Other,ANTH10001,https://handbook.unimelb.edu.au/2024/subjects/anth10001,Undergraduate Level 1,12.5 credit points,"Offered Semester 1, 2024"
French Translation,FREN20004,https://handbook.unimelb.edu.au/2024/subjects/fren20004,Undergraduate Level 2,12.5 credit points,"Offered Semester 2, 2024"
Mobile Worlds,GEOG30028,https://handbook.unimelb.edu.au/2024/subjects/geog30028,Undergraduate Level 3,12.5 credit points,"Offered February, 2024"
Hebrew 1,HEBR10001,https://handbook.unimelb.edu.au/2024/subjects/hebr10001,Undergraduate Level 1,12.5 credit points,"Offered Semester 1, 2024"
Arabic 7,ARBC20002,https://handbook.unimelb.edu.au/2024/subjects/arbc20002,Undergraduate Level 2,12.5 credit points,"Offered Semester 1, 2024"
Social Sustainability,SOCI30016,https://handbook.unimelb.edu.au/2024/subjects/soci30016,Undergraduate Level 3,12.5 credit points,"Offered Semester 2, 2024"
Chinese 8,CHIN20028,https://handbook.unimelb.edu.au/2024/subjects/chin20028,Undergraduate Level 2,12.5 credit points,"Offered Semester 2, 2024"
"Protest & Politics: US History, 1945-Now",HIST20071,https://handbook.unimelb.edu.au/2024/subjects/hist20071,Undergraduate Level 2,12.5 credit points,"Offered Semester 2, 2024"
Gender Diversity in the Workplace,GEND30005,https://handbook.unimelb.edu.au/2024/subjects/gend30005,Undergraduate Level 3,12.5 credit points,"Offered Semester 2, 2024"
Performance 5,MUSI30252,https://handbook.unimelb.edu.au/2024/subjects/musi30252,Undergraduate Level 3,12.5 credit points,"Offered Semester 1, Semester 2, 2024"
Installations and Happenings,ABPL30069,https://handbook.unimelb.edu.au/2024/subjects/abpl30069,Undergraduate Level 3,12.5 credit points,"Offered November, 2024"
Professional Pedagogical Practices (P3),EDUC91024,https://handbook.unimelb.edu.au/2024/subjects/educ91024,Graduate coursework,25 credit points,"Offered April, 2024"
Values of Art,PHIL20048,https://handbook.unimelb.edu.au/2024/subjects/phil20048,Undergraduate Level 2,12.5 credit points,"Offered Semester 2, 2024"
Translating in an Australian Context,TRAN90006,https://handbook.unimelb.edu.au/2024/subjects/tran90006,Graduate coursework,12.5 credit points,"Offered Semester 1, 2024"
Defence & Disease: Containment or Chaos,BMSC90018,https://handbook.unimelb.edu.au/2024/subjects/bmsc90018,Graduate coursework,12.5 credit points,"Offered Semester 2, 2024"
Spanish Honours Language Seminar,SPAN40002,https://handbook.unimelb.edu.au/2024/subjects/span40002,Honours,12.5 credit points,"Offered Semester 1, 2024"
Vocal Ensemble 2,MUSI30207,https://handbook.unimelb.edu.au/2024/subjects/musi30207,Undergraduate Level 3,6.25 credit points,"Offered Semester 2, 2024"
Piano Duo and Duet 1,MUSI30193,https://handbook.unimelb.edu.au/2024/subjects/musi30193,Undergraduate Level 3,6.25 credit points,"Offered Semester 1, 2024"
Implementing Evidence for Practice,NURS90070,https://handbook.unimelb.edu.au/2024/subjects/nurs90070,Graduate coursework,12.5 credit points,"Offered September, 2024"
Helicopter Design,MCEN90049,https://handbook.unimelb.edu.au/2024/subjects/mcen90049,Graduate coursework,12.5 credit points,"Offered Winter Term, 2024"
Medieval and Renaissance Ensemble 2,MUSI10206,https://handbook.unimelb.edu.au/2024/subjects/musi10206,Undergraduate Level 1,6.25 credit points,"Offered Semester 2, 2024"
Medieval and Renaissance Ensemble 1,MUSI10207,https://handbook.unimelb.edu.au/2024/subjects/musi10207,Undergraduate Level 1,6.25 credit points,"Offered Semester 1, 2024"
Historical Performance Practice,MUSI30116,https://handbook.unimelb.edu.au/2024/subjects/musi30116,Undergraduate Level 3,12.5 credit points,"Offered Semester 2, 2024"
Landscapes and Environmental Change,GEOG20002,https://handbook.unimelb.edu.au/2024/subjects/geog20002,Undergraduate Level 2,12.5 credit points,"Offered Semester 1, 2024"
Specialised Topics in Chemistry A,CHEM30017,https://handbook.unimelb.edu.au/2024/subjects/chem30017,Undergraduate Level 3,12.5 credit points,"Offered Semester 1, 2024"
The Theatre Experience,ENGL20034,https://handbook.unimelb.edu.au/2024/subjects/engl20034,Undergraduate Level 2,12.5 credit points,"Offered Semester 1, 2024"
Language and Society in Europe,EURO30001,https://handbook.unimelb.edu.au/2024/subjects/euro30001,Undergraduate Level 3,12.5 credit points,"Offered Semester 2, 2024"
Great Chinese Classics,CHIN20006,https://handbook.unimelb.edu.au/2024/subjects/chin20006,Undergraduate Level 2,12.5 credit points,"Offered Semester 1, 2024"
Contemporary Aboriginal Art,AHIS30005,https://handbook.unimelb.edu.au/2024/subjects/ahis30005,Undergraduate Level 3,12.5 credit points,"Offered Semester 2, 2024"
Branding,GDES30002,https://handbook.unimelb.edu.au/2024/subjects/gdes30002,Undergraduate Level 3,12.5 credit points,"Offered Semester 1, 2024"
Urban Design for People and Places,PLAN20002,https://handbook.unimelb.edu.au/2024/subjects/plan20002,Undergraduate Level 2,12.5 credit points,"Offered Semester 2, 2024"
Hebrew 6,HEBR10012,https://handbook.unimelb.edu.au/2024/subjects/hebr10012,Undergraduate Level 1,12.5 credit points,"Offered Semester 2, 2024"
German 5,GERM10006,https://handbook.unimelb.edu.au/2024/subjects/germ10006,Undergraduate Level 1,12.5 credit points,"Offered Semester 1, 2024"
French Cinema: The New Wave and Beyond,FREN30013,https://handbook.unimelb.edu.au/2024/subjects/fren30013,Undergraduate Level 3,12.5 credit points,Not offered in 2024
European Renaissance Art,AHIS20011,https://handbook.unimelb.edu.au/2024/subjects/ahis20011,Undergraduate Level 2,12.5 credit points,"Offered Semester 1, 2024"
"Law, Justice and Social Change",CRIM20010,https://handbook.unimelb.edu.au/2024/subjects/crim20010,Undergraduate Level 2,12.5 credit points,"Offered Semester 2, 2024"
Italian 8,ITAL30016,https://handbook.unimelb.edu.au/2024/subjects/ital30016,Undergraduate Level 3,12.5 credit points,"Offered Semester 2, 2024"
Intensive Ancient Greek 1,CLAS30045,https://handbook.unimelb.edu.au/2024/subjects/clas30045,Undergraduate Level 3,12.5 credit points,"Offered Winter Term, 2024"
Planning Scenario and Policy Workshop,PLAN30001,https://handbook.unimelb.edu.au/2024/subjects/plan30001,Undergraduate Level 3,12.5 credit points,"Offered Semester 1, 2024"
French 3,FREN20015,https://handbook.unimelb.edu.au/2024/subjects/fren20015,Undergraduate Level 2,12.5 credit points,"Offered Semester 1, 2024"
Introduction to Political Ideas,POLS10003,https://handbook.unimelb.edu.au/2024/subjects/pols10003,Undergraduate Level 1,12.5 credit points,"Offered Semester 2, 2024"
Intensive Akkadian 2,ANCW10009,https://handbook.unimelb.edu.au/2024/subjects/ancw10009,Undergraduate Level 1,12.5 credit points,Not offered in 2024
Indigenous Australia,INDG10001,https://handbook.unimelb.edu.au/2024/subjects/indg10001,Undergraduate Level 1,12.5 credit points,"Offered Semester 1, 2024"
Hollywood and Entertainment,SCRN20011,https://handbook.unimelb.edu.au/2024/subjects/scrn20011,Undergraduate Level 2,12.5 credit points,"Offered Semester 1, 2024"
Art Cinema and the Love Story,SCRN30001,https://handbook.unimelb.edu.au/2024/subjects/scrn30001,Undergraduate Level 3,12.5 credit points,"Offered Semester 1, 2024"
Linear Algebra: Advanced,MAST10022,https://handbook.unimelb.edu.au/2024/subjects/mast10022,Undergraduate Level 1,12.5 credit points,"Offered Semester 1, 2024"
Business Essentials,BUSA90552,https://handbook.unimelb.edu.au/2024/subjects/busa90552,Graduate coursework,12.5 credit points,"Offered Summer Term, January, April, July, September, 2024"
French Travel Writing,FREN20012,https://handbook.unimelb.edu.au/2024/subjects/fren20012,Undergraduate Level 2,12.5 credit points,Not offered in 2024
Classical Sociological Theory,SOTH20002,https://handbook.unimelb.edu.au/2024/subjects/soth20002,Undergraduate Level 2,12.5 credit points,"Offered Semester 2, 2024"
Korean 3,KORE10003,https://handbook.unimelb.edu.au/2024/subjects/kore10003,Undergraduate Level 1,12.5 credit points,"Offered Semester 1, 2024"
Medieval and Renaissance Ensemble 1,MUSI30260,https://handbook.unimelb.edu.au/2024/subjects/musi30260,Undergraduate Level 3,6.25 credit points,"Offered Semester 1, 2024"
International Macroeconomics,ECON30029,https://handbook.unimelb.edu.au/2024/subjects/econ30029,Undergraduate Level 3,12.5 credit points,"Offered Semester 2, 2024"
Arabic in Context 2,ARBC30001,https://handbook.unimelb.edu.au/2024/subjects/arbc30001,Undergraduate Level 3,12.5 credit points,"Offered Semester 2, 2024"
Arabic 3,ARBC20004,https://handbook.unimelb.edu.au/2024/subjects/arbc20004,Undergraduate Level 2,12.5 credit points,"Offered Semester 1, 2024"
Metric and Hilbert Spaces,MAST30026,https://handbook.unimelb.edu.au/2024/subjects/mast30026,Undergraduate Level 3,12.5 credit points,"Offered Semester 2, 2024"
Clinical Teaching Practice (EC) 3,EDUC90894,https://handbook.unimelb.edu.au/2024/subjects/educ90894,Graduate coursework,12.5 credit points,"Offered February, August, 2024"
"India: Environment, Politics and Society",GEOG20018,https://handbook.unimelb.edu.au/2024/subjects/geog20018,Undergraduate Level 2,12.5 credit points,Not offered in 2024
Becoming a Clinical Practitioner (Prim),EDUC90880,https://handbook.unimelb.edu.au/2024/subjects/educ90880,Graduate coursework,6.25 credit points,"Offered February, 2024"
Honours Ensemble 1,MUSI40063,https://handbook.unimelb.edu.au/2024/subjects/musi40063,Honours,6.25 credit points,"Offered Semester 1, Semester 2, 2024"
Basin Structure and Stratigraphy,GEOL90051,https://handbook.unimelb.edu.au/2024/subjects/geol90051,Graduate coursework,12.5 credit points,Not offered in 2024
Python for Earth Sciences,ERTH90051,https://handbook.unimelb.edu.au/2024/subjects/erth90051,Graduate coursework,6.25 credit points,Not offered in 2024
Thinking Tools for Wicked Problems,UNIB10019,https://handbook.unimelb.edu.au/2024/subjects/unib10019,Undergraduate Level 1,12.5 credit points,"Offered Semester 2, 2024"
MCM Indonesian Gamelan Ensemble 2,MUSI20088,https://handbook.unimelb.edu.au/2024/subjects/musi20088,Undergraduate Level 2,6.25 credit points,"Offered Semester 1, Semester 2, 2024"
Sound Studies 2,MUSI10228,https://handbook.unimelb.edu.au/2024/subjects/musi10228,Undergraduate Level 1,12.5 credit points,"Offered Semester 2, 2024"
Chinese News Analysis,CHIN30003,https://handbook.unimelb.edu.au/2024/subjects/chin30003,Undergraduate Level 3,12.5 credit points,"Offered Semester 2, 2024"
Indigenous History,HIST20088,https://handbook.unimelb.edu.au/2024/subjects/hist20088,Undergraduate Level 2,12.5 credit points,Not offered in 2024
Hollywood and Entertainment,SCRN20011,https://handbook.unimelb.edu.au/2024/subjects/scrn20011,Undergraduate Level 2,12.5 credit points,"Offered Semester 1, 2024"
Art Cinema and the Love Story,SCRN30001,https://handbook.unimelb.edu.au/2024/subjects/scrn30001,Undergraduate Level 3,12.5 credit points,"Offered Semester 1, 2024"
Business Essentials,BUSA90552,https://handbook.unimelb.edu.au/2024/subjects/busa90552,Graduate coursework,12.5 credit points,"Offered Summer Term, January, April, July, September, 2024"
Classical Sociological Theory,SOTH20002,https://handbook.unimelb.edu.au/2024/subjects/soth20002,Undergraduate Level 2,12.5 credit points,"Offered Semester 2, 2024"
Linear Algebra: Advanced,MAST10022,https://handbook.unimelb.edu.au/2024/subjects/mast10022,Undergraduate Level 1,12.5 credit points,"Offered Semester 1, 2024"
Korean 3,KORE10003,https://handbook.unimelb.edu.au/2024/subjects/kore10003,Undergraduate Level 1,12.5 credit points,"Offered Semester 1, 2024"
History of Early Modern Philosophy,PHIL20043,https://handbook.unimelb.edu.au/2024/subjects/phil20043,Undergraduate Level 2,12.5 credit points,Not offered in 2024
Biological Psychology,PSYC20006,https://handbook.unimelb.edu.au/2024/subjects/psyc20006,Undergraduate Level 2,12.5 credit points,"Offered Semester 1, 2024"
Italian 9,ITAL30001,https://handbook.unimelb.edu.au/2024/subjects/ital30001,Undergraduate Level 3,12.5 credit points,"Offered Semester 1, 2024"
Art and the Botanical,FINA20044,https://handbook.unimelb.edu.au/2024/subjects/fina20044,Undergraduate Level 2,12.5 credit points,"Offered Summer Term, February, Semester 1, Winter Term, July, Semester 2, 2024"
Sustainable Management of Design Assets,PROP30002,https://handbook.unimelb.edu.au/2024/subjects/prop30002,Undergraduate Level 3,12.5 credit points,"Offered Semester 2, 2024"
Anthropology of Gender and Sexuality,ANTH20008,https://handbook.unimelb.edu.au/2024/subjects/anth20008,Undergraduate Level 2,12.5 credit points,"Offered Semester 2, 2024"
The Renaissance in Italy,HIST30006,https://handbook.unimelb.edu.au/2024/subjects/hist30006,Undergraduate Level 3,12.5 credit points,Not offered in 2024
Global Inequalities In The Anthropocene,GEOG20011,https://handbook.unimelb.edu.au/2024/subjects/geog20011,Undergraduate Level 2,12.5 credit points,"Offered Semester 2, 2024"
The Age of Alexander the Great,ANCW30016,https://handbook.unimelb.edu.au/2024/subjects/ancw30016,Undergraduate Level 3,12.5 credit points,"Offered Summer Term, 2024"
