Subject Name,Subject Code,Subject Type,Primary Info,Credits,URL
Design and Production Melbourne x Berlin,DPSS30011,Quotas apply,Not offered in 2024,"Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/dpss30011
Spatial Industry Internship,GEOM90017,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/geom90017
Special Needs Dentistry 3,DENT90107,Subject,Not offered in 2024,"Graduate coursework, 75 credit points",https://handbook.unimelb.edu.au/2024/subjects/dent90107
MD Discovery 4: Creation,MEDS90042,Requisites apply,Not offered in 2024,"Graduate coursework, 50 credit points",https://handbook.unimelb.edu.au/2024/subjects/meds90042
Applied Business Analytics,BUSA90547,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/busa90547
Assurance Practices,ACCT90007,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/acct90007
Development Policy: Independent Project,DEVT90007,Subject,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/devt90007
Sustainability and Behaviour Change,ENST90032,Subject,"Offered Semester 1, Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/enst90032
Nursing Science 1,NURS90129,Requisites apply,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/nurs90129
Project Management in Science,SKIL90004,Subject,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/skil90004
Generating the Wealth of Nations,ECON20013,Subject,Not offered in 2024,"Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/econ20013
Research Project - RMH Part 2,BIOL40013,Requisites apply,"Offered Semester 1, Semester 2, 2024","Honours, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/biol40013
Molecular and Cellular Biomedicine,BIOM20001,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 2, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/biom20001
Introduction to Business Problems,BUSA90499,Subject,"Offered March, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/busa90499
Cultural Analysis of Exchange Studies,EDUC20071,Requisites apply,Not offered in 2024,"Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/educ20071
Advanced Motion Control,MCEN90017,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mcen90017
Principles of Medicine & Surgery 3 PtB,VETS90057,Requisites apply,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024","Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/vets90057
Screenwriting Practices 2A,FLTV20012,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 2, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/fltv20012
Chemistry Research Project Pt 4 (Cont.),CHEM90057,Subject,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/chem90057
Leadership in Professional Practice,PHTY90111,Requisites apply,"Offered Semester 1 (Early-Start), 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/phty90111
Financial Analysis and Valuation,ACCT30006,Requisites apply,Not offered in 2024,"Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/acct30006
Not for Profits and the Law,LAWS90077,Quotas apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/laws90077
Supply Chain Management Project,MGMT90177,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mgmt90177
Managing People for High Performance,BUSA90395,Subject,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/busa90395
Case Studies in Microeconomic Policy,ECON90068,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/econ90068
Finance and Accounting Analytics,FNCE90079,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/fnce90079
PhD Research,PSYC80004,Subject,"Offered Time-based Research, 2024","Doctorate time-based research, 0 credit points",https://handbook.unimelb.edu.au/2024/subjects/psyc80004
Statistical Signal Processing,ELEN90079,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/elen90079
Intro. to Mathematical Psychology 3,PSYC30011,Requisites apply,Not offered in 2024,"Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/psyc30011
Linear Systems Theory,ELEN90027,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/elen90027
Chronic Disease and Disability,PHTY90102,Subject,"Offered Semester 2 (Extended), 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/phty90102
PhD Research,ENGL80001,Subject,"Offered Time-based Research, 2024","Doctorate time-based research, 0 credit points",https://handbook.unimelb.edu.au/2024/subjects/engl80001
PhD Research,COMP80001,Subject,"Offered Time-based Research, 2024","Doctorate time-based research, 0 credit points",https://handbook.unimelb.edu.au/2024/subjects/comp80001
Engineering Project,ENGR90027,Requisites apply,Not offered in 2024,"Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/engr90027
Decision Making for Leaders,BUSA90515,Quotas apply,Not offered in 2024,"Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/busa90515
Principles of Clinical Practice 3A,MEDS90034,Requisites apply,"Offered Year Long (Extended), 2024","Graduate coursework, 68.75 credit points",https://handbook.unimelb.edu.au/2024/subjects/meds90034
Disability Human Rights Clinic,LAWS90004,Quotas apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/laws90004
Macroeconomic Techniques,ECON40005,Requisites apply,Not offered in 2024,"Honours, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/econ40005
Child and Family Health,NURS90025,Subject,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/nurs90025
MPhil Research,ELEN90036,Subject,"Offered Time-based Research, 2024","Masters time-based research, 0 credit points",https://handbook.unimelb.edu.au/2024/subjects/elen90036
Special Topics in Finance C,FNCE90066,Requisites apply,Not offered in 2024,"Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/fnce90066
Managing Conflict at Work,MGMT90172,Subject,Not offered in 2024,"Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/mgmt90172
Special Topics in Adv. Econometrics 2,ECOM90015,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/ecom90015
Deals In Asia Pacific,LAWS50080,Quotas apply,Not offered in 2024,"Graduate coursework Level 5, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/laws50080
Interactive Architecture,ABPL90420,Subject,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/abpl90420
Construction Industry and Environment,ABPL90310,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/abpl90310
Major Design Project,ELEN90046,Requisites apply,Not offered in 2024,"Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/elen90046
Research Internship,SKIL90005,Requisites apply,"Offered January, February, March, April, May, June, July, August, September, October, November, December, 2024","Administrative (Level 9), 0 credit points",https://handbook.unimelb.edu.au/2024/subjects/skil90005
Air Quality Monitoring,EVSC90033,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/evsc90033
Quantitative Methods for Psychology 2,PSYC20001,Requisites apply,Not offered in 2024,"Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/psyc20001
"Sexualities, Gender, Activism and Law",LAWS90190,Quotas apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/laws90190
Financial Institutions Management,FNCE40008,Requisites apply,Not offered in 2024,"Honours, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/fnce40008
Japanese Law,LAWS90244,Quotas apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/laws90244
Constraint Programming,COMP90046,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/comp90046
Non-Fictional Cities,ABPL90423,Quotas apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/abpl90423
PhD Research,ENEN80001,Subject,"Offered Time-based Research, 2024","Doctorate time-based research, 0 credit points",https://handbook.unimelb.edu.au/2024/subjects/enen80001
Robin Boyd Studio,ABPL90354,Quotas apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/abpl90354
Wireless Communication Systems,ELEN90007,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/elen90007
Financial Economics,ECON90024,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/econ90024
Digital Marketing,MKTG90019,Subject,Not offered in 2024,"Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/mktg90019
Travelling Studio,DNCE20040,Requisites apply,Not offered in 2024,"Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/dnce20040
MPhil Research,MCEN90007,Subject,"Offered Time-based Research, 2024","Masters time-based research, 0 credit points",https://handbook.unimelb.edu.au/2024/subjects/mcen90007
Steel and Composite Construction Systems,ABPL90293,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/abpl90293
Indigenous Land Management,GEOG90019,Quotas apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/geog90019
European Civil Law,LAWS50067,Quotas apply,Not offered in 2024,"Graduate coursework Level 5, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/laws50067
Long-Run Economic Change,ECON40004,Requisites apply,Not offered in 2024,"Honours, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/econ40004
Physics Research Project Part 4 (Cont.),PHYC90055,Subject,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/phyc90055
Contemporary Digital Practice,ABPL90149,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/abpl90149
Placemaking : Design for Landscape,LARC90001,Subject,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/larc90001
Ore Deposit Models,GEOL90044,Subject,Not offered in 2024,"Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/geol90044
Bachelor of Design Honours Thesis -II,ABPL40055,Requisites apply,"Offered Semester 2, 2024","Honours, 37.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/abpl40055
Industrial Organisation,ECON90005,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/econ90005
PhD Research,MGMT80001,Subject,"Offered Time-based Research, 2024","Doctorate time-based research, 0 credit points",https://handbook.unimelb.edu.au/2024/subjects/mgmt80001
Corporate Governance,LAWS90078,Quotas apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/laws90078
Information Theory,ELEN90030,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/elen90030
Software Systems Project,SWEN30007,Requisites apply,Not offered in 2024,"Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/swen30007
Corporate Governance,BUSA90050,Quotas apply,Not offered in 2024,"Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/busa90050
MPhil Research,CVEN90038,Subject,"Offered Time-based Research, 2024","Masters time-based research, 0 credit points",https://handbook.unimelb.edu.au/2024/subjects/cven90038
Health Communication Skills 1,GENE90004,Subject,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/gene90004
PhD Research,ELEN80001,Subject,"Offered Time-based Research, 2024","Doctorate time-based research, 0 credit points",https://handbook.unimelb.edu.au/2024/subjects/elen80001
Introduction to Transport and Land Use,ABPL90077,Subject,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/abpl90077
Researching Media and Culture,ARTS90013,Subject,"Offered Semester 1, 2024","Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/arts90013
Data Analytics in Insurance 2,ACTL90019,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/actl90019
Politics & International Thesis Part 2,POLS40022,Requisites apply,"Offered Semester 2, 2024","Honours, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/pols40022
Advanced Accounting 2,ACCT90045,Requisites apply,"Offered Year Long, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/acct90045
Thesis (Masters/coursework) Part 2,PSYC90096,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 18.75 credit points",https://handbook.unimelb.edu.au/2024/subjects/psyc90096
Epidemiology Research Project Part 2,POPH90279,Requisites apply,"Offered Semester 1, Semester 2, 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/poph90279
Geography Research Project Part 4,GEOG90051,Requisites apply,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024","Graduate coursework, 50 credit points",https://handbook.unimelb.edu.au/2024/subjects/geog90051
Periodontics 2,DENT90100,Subject,"Offered Year Long (Extended), 2024","Graduate coursework, 75 credit points",https://handbook.unimelb.edu.au/2024/subjects/dent90100
Monetary Economics,ECON40013,Requisites apply,"Offered Semester 2, 2024","Honours, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/econ40013
Production Studio 4,DPSS20013,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 2, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/dpss20013
Dental Practice 1 PT2,DENT90134,Subject,"Offered Year Long (Extended), 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/dent90134
Animal Sci & Mgt Research Project Part 2,ANSC40002,Subject,"Offered Semester 2 (Early-Start), 2024","Honours, 50 credit points",https://handbook.unimelb.edu.au/2024/subjects/ansc40002
Statistical Modelling for Data Science,MAST90139,Requisites apply,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mast90139
Mobile and Wireless Networks and Design,ELEN90013,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/elen90013
Fluid Dynamics,MCEN90008,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mcen90008
Translation Industry Project,TRAN90022,Requisites apply,"Offered Semester 1, Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/tran90022
Macroeconomics II,ECON90014,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/econ90014
Research Project In Geoscience,GEOL90025,Requisites apply,"Offered Semester 1, Semester 2, 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/geol90025
Complex Building Energy Modelling,ABPL90153,Quotas apply,"Offered Summer Term, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/abpl90153
Monetary Economics,ECON90011,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/econ90011
Economic Design,ECON40006,Requisites apply,Not offered in 2024,"Honours, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/econ40006
French Thesis Part 1,FREN40010,Requisites apply,"Offered Semester 1, Semester 2, 2024","Honours, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/fren40010
Advanced Hydrological Solutions,ENEN90039,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/enen90039
Regional Anaesthesia - Practical,MEDI90139,Requisites apply,Not offered in 2024,"Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/medi90139
Production Practice 2,DPSS20012,Requisites apply,"Offered Semester 2 (Extended), 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/dpss20012
Engineering Research Project Part 2,ENGR90042,Requisites apply,"Offered Semester 1, Semester 2, 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/engr90042
Atmospheric Modelling,ATOC20003,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/atoc20003
Research Design 1,DENT90011,Subject,"Offered Semester 1, 2024","Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/dent90011
Speech Pathology Practice 3,AUDI90039,Requisites apply,"Offered Semester 2 (Extended), 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/audi90039
Clinical Processes A,AUDI90027,Requisites apply,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/audi90027
Behavioural & Cognitive Neuroscience,PSYC40004,Subject,"Offered July, 2024","Honours, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/psyc40004
Earth Sciences Research Project Pt 6,ERTH90065,Subject,Not offered in 2024,"Graduate coursework, 37.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/erth90065
World Economic History,ECON90056,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/econ90056
Language Assessment,LING90009,Requisites apply,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/ling90009
Clinical Elective,MEDS90027,Requisites apply,"Offered May, November, 2024","Graduate coursework, 0 credit points",https://handbook.unimelb.edu.au/2024/subjects/meds90027
Earth Sciences Research Project Pt1,ERTH40008,Requisites apply,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024","Honours, 37.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/erth40008
Nursing Science 3,NURS90052,Requisites apply,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/nurs90052
Chemistry Research Project Pt 3,CHEM90032,Subject,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/chem90032
Exploring Neural Circuits and Systems,BMSC90020,Subject,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/bmsc90020
Contextual Studies 2,DRAM10034,Requisites apply,"Offered Semester 2, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/dram10034
Algorithms for Bioinformatics,COMP90014,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/comp90014
Body Time Space and Place,DNCE90013,Subject,"Offered Semester 1, 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/dnce90013
Foundation Procedural Skills,DENT90127,Requisites apply,"Offered Semester 2 (Extended), 2024","Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/dent90127
Masters Software Engineering Project,SWEN90014,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/swen90014
Epidemiology 2,POPH90242,Requisites apply,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/poph90242
Chemistry Research Project Pt 4 (Cont.),CHEM90059,Subject,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024","Graduate coursework, 50 credit points",https://handbook.unimelb.edu.au/2024/subjects/chem90059
Management and Leadership for Engineers,ENGM90015,Subject,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/engm90015
BioSciences Research Project Pt 5,BIOL90037,Subject,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/biol90037
Technical Collaboration (Stage & Screen),DPSS90009,Subject,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/dpss90009
Advanced Macroeconomics,ECON40002,Requisites apply,"Offered Semester 1, 2024","Honours, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/econ40002
Physics Research Project Pt2,PHYC40013,Requisites apply,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024","Undergraduate Level 4, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/phyc40013
Marketing the Arts,AMGT90017,Subject,"Offered Semester 1, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/amgt90017
Foundation Mathematics 1,MAST10014,Requisites apply,"Offered Semester 1, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mast10014
Signalling and Network Management,ELEN90008,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/elen90008
Numerical Methods in Engineering,ENGR20005,Requisites apply,"Offered Semester 1, Semester 2, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/engr20005
Bioinformatics Research Project Pt 4,BINF90012,Subject,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/binf90012
Integrated Design Studio,CVEN90073,Quotas apply,"Offered Semester 1, Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/cven90073
Research Project in Comp Biol Pt3,SCIE90032,Requisites apply,"Offered Semester 1 (Early-Start), Semester 2 (Early-Start), 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/scie90032
Managerial Economics,BUSA90193,Quotas apply,"Offered January, April, July, September, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/busa90193
Thesis(PT),SCWK90046,Subject,"Offered Time-based Research, 2024","Masters time-based research, 0 credit points",https://handbook.unimelb.edu.au/2024/subjects/scwk90046
Commercial Restitution,LAWS50115,Quotas apply,Not offered in 2024,"Graduate coursework Level 5, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/laws50115
PhD Research,HIST80001,Subject,"Offered Time-based Research, 2024","Doctorate time-based research, 0 credit points",https://handbook.unimelb.edu.au/2024/subjects/hist80001
Writing and Publishing Reports,MGMT90134,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mgmt90134
Microwave Photonics,ELEN90084,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/elen90084
Professional Development and Application,BUSA90554,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/busa90554
International Property Development A,ABPL90038,Quotas apply,Not offered in 2024,"Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/abpl90038
Ph.D.- Accounting Thesis Workshop,ACCT90017,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/acct90017
Physiotherapy Theory and Practice 1,PHTY90095,Subject,Not offered in 2024,"Graduate coursework, 18.75 credit points",https://handbook.unimelb.edu.au/2024/subjects/phty90095
Shorter Thesis - Applied Linguistics,LING70002,Subject,"Offered Time-based Research, 2024","Masters time-based research, 0 credit points",https://handbook.unimelb.edu.au/2024/subjects/ling70002
Clinical Path Research Project Part 2,PATH40009,Requisites apply,Not offered in 2024,"Honours, 37.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/path40009
Auditory and Visual Processing,ELEN90071,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/elen90071
Advanced Topics in Optical Communication,ELEN90085,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/elen90085
PhD Research,CVEN80001,Subject,"Offered Time-based Research, 2024","Doctorate time-based research, 0 credit points",https://handbook.unimelb.edu.au/2024/subjects/cven80001
Adv Topics in Engineering Mathematics,ELEN90018,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/elen90018
International Film Festival Studio,FLTV20020,Requisites apply,Not offered in 2024,"Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/fltv20020
PhD Research,ASIA80001,Subject,"Offered Time-based Research, 2024","Doctorate time-based research, 0 credit points",https://handbook.unimelb.edu.au/2024/subjects/asia80001
Acc.Information and Security Valuation,ACCT90008,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/acct90008
Economic and Business Law in Asia,LAWS90037,Quotas apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/laws90037
Physiotherapy Theory and Practice 2,PHTY90092,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/phty90092
Doing Business in Asia,BUSA90476,Subject,Not offered in 2024,"Graduate coursework, 6.25 credit points",https://handbook.unimelb.edu.au/2024/subjects/busa90476
Project in Computational Biology,SCIE90025,Subject,Not offered in 2024,"Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/scie90025
Chemistry Honours Research Project Pt1,CHEM40010,Requisites apply,"Offered Semester 1 (Extended), Semester 2 (Extended), 2024","Honours, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/chem40010
Experimental Mathematics,MAST90053,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mast90053
Advanced Nursing Practice: Primary Care,NURS90106,Subject,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/nurs90106
Doing Business in the Asia-Pacific,IBUS20006,Requisites apply,Not offered in 2024,"Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/ibus20006
China Field Class,GEOG30007,Quotas apply,Not offered in 2024,"Undergraduate Level 3, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/geog30007
