Subject Name,Subject Code,Subject Type,Primary Info,Credits,URL
Doctor of Education Thesis Proposal,EDUC90869,Requisites apply,"Offered Semester 1, Semester 2, 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/educ90869
Laying the Foundations for Your Research,EDUC90870,Subject,"Offered February, 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/educ90870
Media and Communications Project,MECM30015,Subject,"Offered Semester 1, 2024","Undergraduate Level 3, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mecm30015
Exactly Solvable Models,MAST90065,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mast90065
Differential Topology,MAST90029,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mast90029
Research Project - SVHM Part 1,MEDI40005,Requisites apply,"Offered Semester 1, 2024","Honours, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/medi40005
Visual Communication and Digital Media,MECM20014,Subject,"Offered Semester 1, 2024","Undergraduate Level 2, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mecm20014
Stochastic Calculus with Applications,MAST90059,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mast90059
Representation Theory,MAST90017,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mast90017
Evaluation Capstone,EDUC90747,Requisites apply,"Offered January, June, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/educ90747
Technical Collaboration (Graphic Design),DPSS90013,Subject,"Offered Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/dpss90013
Infectious Disease Dynamics,MAST90129,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mast90129
Representing and Remembering Place (PG),ABPL90241,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/abpl90241
Continuum Mechanics,MAST90113,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mast90113
Executive Management 4,BUSA90508,Requisites apply,"Offered November, 2024","Graduate coursework, 25 credit points",https://handbook.unimelb.edu.au/2024/subjects/busa90508
Language,LANG10001,Subject,"Offered Semester 1, 2024","Undergraduate Level 1, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/lang10001
Curriculum Design in a Multilingual Era,EDUC90109,Requisites apply,"Offered July, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/educ90109
Advanced Computational Design,ABPL90123,Requisites apply,Not offered in 2024,"Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/abpl90123
Human Resource Fundamentals,MGMT90015,Subject,"Offered Semester 1, Semester 2, 2024","Graduate coursework, 12.5 credit points",https://handbook.unimelb.edu.au/2024/subjects/mgmt90015
