Course Name,Course Code,Location,Duration,Credit Points,Course Url
Master of Supply Chain Management,MC-SCM150,Online,18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-scm150
Graduate Diploma in Data Science,GD-DATASC,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-datasc
Master of Finance,MC-FINANCE,"Parkville, On Campus",18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-finance
Master of Finance (Enhanced),MC-FINENH,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-finenh
Master of Commerce (Accounting),MC-COMACT,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-comact
Master of Commerce (Finance),MC-COMFIN,"Parkville, On Campus",24 months full-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-comfin
Master of Commerce (Management),MC-COMMGMT,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-commgmt
Master of Commerce (Marketing),MC-COMMKTG,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-commktg
"Master of Commerce (Decision, Risk and Financial Sciences)",MC-COMDRFS,"Parkville, On Campus",24 months full-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-comdrfs
Master of Ecosystem Management and Conservation,MC-ECOSMC,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-ecosmc
Professional Certificate in Applied Data Analytics,PR-APPDA,Online,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/pr-appda
Graduate Certificate in Applied Data Analytics,GC-APPDA,Online,12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-appda
Graduate Certificate in Urban and Cultural Heritage,GC-UCH,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-uch
Graduate Diploma in Surgical Anatomy,GD-SURGANT,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-surgant
Graduate Certificate in Advanced Social Work,GC-ASW,Online,12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-asw
Master of Philosophy - MDHS (Dental Science),MR-PHILDSC,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/mr-phildsc
Master of Advanced Social Work,J17RE,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/j17re
Master of Philosophy - MDHS (Biomedical Science),MR-PHILBMS,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/mr-philbms
Master of Surgery,552AA,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/552aa
Master of Philosophy - MDHS (Health Sciences),MR-PHILHLT,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/mr-philhlt
Master of Medicine,572AT,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/572at
Master of Philosophy - MDHS (Population and Global Health),MR-PHILPGH,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/mr-philpgh
Master of Philosophy - MDHS (Psychological Sciences),MR-PHILPSY,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/mr-philpsy
Juris Doctor,MC-JURISD,"Parkville, On Campus",36 months full-time or 72 months part-time,300,https://handbook.unimelb.edu.au/2024/courses/mc-jurisd
Master of Food Science,439FS,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/439fs
Master of Computer Science,MC-CS,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-cs
Master of Mechatronics Engineering,MC-MTRNENG,"Parkville, On Campus",36 months full-time or 72 months part-time,300,https://handbook.unimelb.edu.au/2024/courses/mc-mtrneng
Master of Management (Accounting and Finance),MC-MGMTAFN,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-mgmtafn
Doctor of Veterinary Medicine,MC-DVETMED,"Parkville, On Campus",48 months full-time,400,https://handbook.unimelb.edu.au/2024/courses/mc-dvetmed
Bachelor of Fine Arts (Theatre),B-FATH,"Southbank, On Campus",36 months full-time,300,https://handbook.unimelb.edu.au/2024/courses/b-fath
Bachelor of Fine Arts (Acting),B-FAACTING,"Southbank, On Campus",36 months full-time,300,https://handbook.unimelb.edu.au/2024/courses/b-faacting
Bachelor of Fine Arts (Film and Television),B-FAFILMTV,"Southbank, On Campus",36 months full-time,300,https://handbook.unimelb.edu.au/2024/courses/b-fafilmtv
Bachelor of Fine Arts (Screenwriting),B-FASCWRI,"Southbank, On Campus",36 months full-time,300,https://handbook.unimelb.edu.au/2024/courses/b-fascwri
Bachelor of Fine Arts (Music Theatre),B-FAMUSTH,"Southbank, On Campus",36 months full-time,300,https://handbook.unimelb.edu.au/2024/courses/b-famusth
Doctor of Medical Science,J15AA,"Parkville, On Campus","4 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/j15aa
Bachelor of Fine Arts (Production),B-FAPRO,"Southbank, On Campus",36 months full-time,300,https://handbook.unimelb.edu.au/2024/courses/b-fapro
Bachelor of Fine Arts (Dance),B-FADANCE,"Southbank, On Campus",36 months full-time,300,https://handbook.unimelb.edu.au/2024/courses/b-fadance
Bachelor of Fine Arts (Animation),B-FAANIM,"Southbank, On Campus",36 months full-time,300,https://handbook.unimelb.edu.au/2024/courses/b-faanim
Master of Dance,MC-DNCE,"Southbank, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-dnce
Master of Nursing Science,MC-NURSC,"Parkville, Mixed Attendance Mode",24 months full-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-nursc
Master of Nursing Science,MC-NURSC,"Parkville, Mixed Attendance Mode",24 months full-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-nursc
Master of Genomics and Health,MC-GENOHLT,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-genohlt
Graduate Certificate in Innovation Practice,GC-INNOVP,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-innovp
Master of Business Administration,MC-BAPTME,"Parkville, On Campus",24 months full-time,225,https://handbook.unimelb.edu.au/2024/courses/mc-baptme
Graduate Certificate in Indigenous Research and Leadership,GC-IRL,"Parkville, On Campus",18 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-irl
Graduate Certificate in Digital Transformation of Health,GC-DTHLTH,"Parkville, Mixed Attendance Mode",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-dthlth
Master of Psychology (Educational and Developmental),MC-PSYCHED,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-psyched
Master of TESOL,MC-TESOL,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-tesol
Graduate Diploma in Business Administration,GD-BA,"Parkville, On Campus",12 months full-time or 24 months part-time,112,https://handbook.unimelb.edu.au/2024/courses/gd-ba
Master of Business Analytics,MC-BUSANA,"Parkville, On Campus",12 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-busana
Master of Business Administration,MC-BA218,"Parkville, On Campus",24 months full-time or 48 months part-time,218,https://handbook.unimelb.edu.au/2024/courses/mc-ba218
Professional Certificate in Business Administration,PR-BA,"Parkville, On Campus",3 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/pr-ba
Master of Business Administration,MC-BAEV,"Parkville, On Campus",18 months full-time,225,https://handbook.unimelb.edu.au/2024/courses/mc-baev
Master of Research,MR-RESMED,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/mr-resmed
Master of Marketing,294PN,"Parkville, On Campus",18 months full-time or 36 months part-time,162,https://handbook.unimelb.edu.au/2024/courses/294pn
Graduate Certificate in Business Administration,GC-BA,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-ba
Graduate Diploma in Marketing,GD-MKTG,"Parkville, On Campus",12 months full-time or 24 months part-time,112,https://handbook.unimelb.edu.au/2024/courses/gd-mktg
Master of Education,960BA,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/960ba
Doctor of Education,300BB,"Parkville, On Campus","4 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/300bb
Doctor of Philosophy - Education,DR-PHILEDU,"Parkville, On Campus","4 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/dr-philedu
Master of Business Administration,MC-BAOL,Online,24 months full-time or 36 months part-time,218,https://handbook.unimelb.edu.au/2024/courses/mc-baol
Professional Certificate in Business Administration,PR-BAOL,Online,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/pr-baol
Graduate Certificate in Business Administration,GC-BAOL,Online,6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-baol
Master of Medicine (Radiology),572RC,"Parkville, On Campus",36 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/572rc
Graduate Certificate in Dental Public Health,GC-DPHLTH,"Parkville, Mixed Attendance Mode",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-dphlth
Master of Science (Chemistry),MC-SCICHE,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-sciche
Graduate Certificate in Dental Therapy (Advanced Clinical Practice),GC-DTACP,"Parkville, Mixed Attendance Mode",6 months full-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-dtacp
Graduate Certificate in Business,GC-BUS,Online,6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-bus
Master of Advanced Nursing Practice/Master of Public Health,MC-ADVNPPH,"Parkville, Mixed Attendance Mode",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-advnpph
Master of Advanced Nursing Practice,MC-ANP,"Parkville, Mixed Attendance Mode",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-anp
Master of Teaching (Secondary) Internship,MC-TEACHSI,"Parkville, Mixed Attendance Mode",24 months full-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-teachsi
Graduate Certificate in Education (Learning Difficulties),GC-EDLD,Online,24 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-edld
Graduate Certificate in Evaluation,GC-EVALO,Online,6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-evalo
Graduate Certificate in Educational Research,GC-EDRES,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-edres
Master of Instructional Leadership,MC-INSLEAD,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-inslead
Master of Evaluation,MC-EVALO,Online,12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-evalo
Graduate Certificate in Early Childhood Research,GC-ECHRES,Online,12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-echres
Doctor of Dental Science,DH-DSC,,0 months full-time or 0 months part-time,None,https://handbook.unimelb.edu.au/2024/courses/dh-dsc
Master of Employment and Labour Relations Law,510AA,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/510aa
Master of Construction Law,195AA,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/195aa
Master of Tax,742AB,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/742ab
Graduate Diploma in Environment,GD-ENV,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-env
Master of Architecture/Master of Property,MC-ARCPROP,"Parkville, On Campus",48 months full-time or 96 months part-time,400,https://handbook.unimelb.edu.au/2024/courses/mc-arcprop
Graduate Certificate in Environmental Design,GC-ENVDES,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-envdes
"Doctor of Philosophy - Architecture, Building and Planning",DR-PHILABP,"Parkville, On Campus","4 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/dr-philabp
Professional Certificate in Translation,PR-TRANS,"Parkville, On Campus",6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/pr-trans
"Master of Philosophy - Architecture, Building and Planning",MR-PHILABP,"Parkville, On Campus","2 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/mr-philabp
Master of Urban Planning/Master of Urban Design,MC-UPUD,"Parkville, On Campus",36 months full-time or 72 months part-time,300,https://handbook.unimelb.edu.au/2024/courses/mc-upud
Master of Urban Planning,MC-URPL,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-urpl
Graduate Certificate in Translation,GC-TRANS,"Parkville, On Campus",6 months full-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-trans
Master of International Tax,192AA,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/192aa
Master of Health and Medical Law,507AA,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/507aa
Graduate Diploma in International Tax,191AA,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/191aa
Graduate Diploma in Construction Law,189AA,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/189aa
Graduate Diploma in Tax,187AA,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/187aa
Specialist Certificate in Tax,SC-TAX,"Online and Parkville, Mixed Attendance Mode, Online",6 months part-time or 6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-tax
Graduate Diploma in Human Rights Law,636AA,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/636aa
Master of Human Rights Law,MC-HUMRLAW,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-humrlaw
Graduate Diploma in Energy and Resources Law,GD-ENRSLAW,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gd-enrslaw
Master of Energy and Resources Law,MC-ENRSLAW,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-enrslaw
Master of Energy and Resources Law,MC-ENRSLAW,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-enrslaw
Master of Global Competition and Consumer Law,MC-GCCLAW,"Parkville, Mixed Attendance Mode",24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-gcclaw
Master of Private Law,MC-PRIVLAW,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-privlaw
Graduate Diploma in Global Competition and Consumer Law,GD-GCCLAW,"Parkville, Mixed Attendance Mode",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gd-gcclaw
Specialist Certificate in Global Competition Law,SC-GCLAW,Online,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-gclaw
Graduate Diploma in Dispute Resolution,498AB,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/498ab
Graduate Diploma in Health and Medical Law,343AA,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/343aa
Graduate Diploma in Communications Law,518AB,"Parkville, On Campus",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/518ab
Specialist Certificate in Legal Leadership,SC-LGLLEAD,"Parkville, Mixed Attendance Mode",6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-lgllead
Graduate Diploma in Employment and Labour Relations Law,188AA,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/188aa
Bachelor of Fine Arts (Visual Art),B-FAVISART,"Southbank, On Campus",36 months full-time,300,https://handbook.unimelb.edu.au/2024/courses/b-favisart
Graduate Certificate in Language and Cultural Literacy,GC-LANGCL,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-langcl
Master of Music (Orchestral Performance),MC-MUSORP,"Southbank, On Campus",24 months full-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-musorp
Professional Certificate in Language and Cultural Literacy,PR-LANGCL,"Parkville, On Campus",12 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/pr-langcl
Graduate Diploma in Publishing and Communications (Advanced),GDA-PUBCOM,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gda-pubcom
Graduate Certificate in Publishing and Communications (Advanced),GCA-PUBCOM,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gca-pubcom
Specialist Certificate in Criminology (Forensic Disability),SC-CRIMFD,"Parkville, On Campus",12 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-crimfd
Specialist Certificate in Inclusive Music Teaching,SC-IMUSTCH,"Southbank, On Campus",12 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-imustch
Master of Urban Design,MC-URBDES,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-urbdes
Bachelor of Commerce (Degree with Honours),BH-COM,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/bh-com
Graduate Diploma in Clinical Rehabilitation,GD-CLINRHB,Online,12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-clinrhb
Graduate Diploma in Youth Mental Health,GD-YOUTHMH,Online,24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-youthmh
Master of Physiotherapy (Pelvic Health),MC-PHTYPH,"Parkville, Mixed Attendance Mode",18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-phtyph
Master of Sports Medicine,MC-SPMED,Online,18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-spmed
Master of Youth Mental Health,MC-YOUTHMH,Online,36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-youthmh
Graduate Certificate in Clinical Rehabilitation,GC-CLINRHB,Online,12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-clinrhb
Specialist Certificate in Clinical Rehabilitation,SC-CLINRHB,Online,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-clinrhb
Master of Clinical Rehabilitation,MC-CLINRHB,Online,18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-clinrhb
Graduate Diploma in Sports Medicine,GD-SPMED,Online,12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-spmed
Graduate Certificate in Youth Mental Health,GC-YOUTHMH,Online,12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-youthmh
Master of Sports Rehabilitation,MC-SPREHAB,Online,18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-sprehab
Graduate Certificate in Sports Medicine,GC-SPMED,Online,6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-spmed
Professional Certificate in Treaty,PR-TREATY,Online,12 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/pr-treaty
Master of Physiotherapy (Paediatrics),MC-PHTYPAE,"Parkville, Mixed Attendance Mode",24 months full-time or 48 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-phtypae
Graduate Diploma in Physiotherapy (Paediatrics),GD-PHTYPAE,"Parkville, Mixed Attendance Mode",12 months full-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-phtypae
Master of Environmental Systems Engineering,MC-ENSYSEN,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-ensysen
Professional Certificate in Positive Education,PR-POSED,"Online and Parkville, Online, On Campus",6 months part-time or 6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/pr-posed
Professional Certificate in Business Analytics,PR-BUSANA,"Parkville, On Campus",6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/pr-busana
Graduate Diploma in Business Administration,GD-BAOL,Online,12 months full-time or 24 months part-time,112,https://handbook.unimelb.edu.au/2024/courses/gd-baol
Master of Architectural Engineering,MC-ARCHENG,"Parkville, On Campus",42 months full-time or 84 months part-time,450,https://handbook.unimelb.edu.au/2024/courses/mc-archeng
Master of Biostatistics (Enhanced),MC-BIOSENH,"Parkville, Mixed Attendance Mode",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-biosenh
Graduate Diploma in Biostatistics,GD-BIOSTAT,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-biostat
Master of Biostatistics,991AA,"Parkville, On Campus",18 months full-time or 36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/991aa
Graduate Certificate in Surgical Education,GC-SURGED,Online,12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-surged
Graduate Diploma in Surgical Education,GD-SURGED,Online,24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-surged
Master of Surgical Education,MC-SURGED,Online,36 months part-time,150,https://handbook.unimelb.edu.au/2024/courses/mc-surged
Graduate Certificate in Cancer Sciences,GC-CNCRSC,Online,6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-cncrsc
Specialist Certificate in Cancer Sciences,SC-CNCRSC,Online,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-cncrsc
Master of Cancer Sciences,MC-CNCRSC,Online,12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-cncrsc
Master of Commerce (Economics),MC-COMECO,"Parkville, On Campus",24 months full-time or 48 months part-time,200,https://handbook.unimelb.edu.au/2024/courses/mc-comeco
Graduate Diploma in Genomics and Health,GD-GENOHLT,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-genohlt
Professional Certificate in Language Assessment,PR-LANGASS,Online,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/pr-langass
Specialist Certificate in Neonatal Care,SC-NEOCARE,Online,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-neocare
Specialist Certificate in Cancer Nursing,SC-CNCRNUR,Online,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-cncrnur
Specialist Certificate in Critical Care Nursing,SC-CCNURS,Online,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-ccnurs
Graduate Certificate in Paediatric Nursing,GC-PAEN,"Parkville, Mixed Attendance Mode",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-paen
Graduate Certificate in Critical Care Nursing (Emergency),GC-CCNEM,"Parkville, Mixed Attendance Mode",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-ccnem
Graduate Certificate in Paediatric Intensive Care Nursing,GC-PAEICN,"Parkville, Mixed Attendance Mode",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-paeicn
Specialist Certificate in Paediatric Nursing,SC-PAEN,Online,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-paen
Graduate Certificate in Neonatal Intensive Care,GC-NIC,"Parkville, Mixed Attendance Mode",12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-nic
Graduate Diploma in Early Childhood Teaching,GD-ECTCH,Online,9 months intensive or 12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-ectch
Master of Urban and Cultural Heritage,MC-UCH,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-uch
Graduate Certificate in Clinical Ultrasound,GC-CLINUS,Online,6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-clinus
Specialist Certificate in Clinical Ultrasound,SC-CLINUS,Online,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-clinus
Specialist Certificate in Clinical Leadership,SC-CLNLEAD,"Parkville, On Campus",12 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-clnlead
Specialist Certificate in Clinical Ultrasound (Practical),SC-CLINUSP,"Parkville, Mixed Attendance Mode",6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-clinusp
Doctor of Philosophy - Arts,DR-PHILART,"Parkville, On Campus","4 years full-time, or equivalent part-time —",None,https://handbook.unimelb.edu.au/2024/courses/dr-philart
Master of Education in Evidence-Based Teaching,MC-EDEBT,Online,12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-edebt
Specialist Certificate in Implementation Science,SC-IMPSC,Online,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-impsc
Master of Health and Human Services,MC-HHS,Online,24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-hhs
Specialist Certificate in Service Navigation,SC-SERVNAV,Online,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-servnav
Graduate Certificate in Health and Human Services,GC-HHS,Online,6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-hhs
Graduate Certificate in Narrative Therapy and Community Work,GC-NTCW,Off Campus and Online,12 months part-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gc-ntcw
Professional Certificate in Evidence-Based Teaching,PR-EBT,Online,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/pr-ebt
Specialist Certificate in Health and Human Services,SC-HHS,Online,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-hhs
Specialist Certificate in Advanced Social Work,SC-ASW,Online,6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-asw
Specialist Certificate in Disaster Health Management,SC-DHM,"Parkville, Mixed Attendance Mode",6 months part-time,25,https://handbook.unimelb.edu.au/2024/courses/sc-dhm
Graduate Diploma in Environmental Law,GD-ENVLAW,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gd-envlaw
Graduate Diploma in Mental Health Nursing Practice,GD-MHNP,Online,12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/gd-mhnp
Master of Environmental Law,MC-ENVLAW,"Parkville, On Campus",12 months full-time or 24 months part-time,100,https://handbook.unimelb.edu.au/2024/courses/mc-envlaw
Graduate Diploma in Corporate Law,GD-CORPLAW,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/gd-corplaw
Graduate Diploma in Banking and Finance Law,968AB,"Parkville, On Campus",6 months full-time or 12 months part-time,50,https://handbook.unimelb.edu.au/2024/courses/968ab
